index,gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,work_phone,phone,email,occyp_type,family_size,begin_month,credit,income_quintile
0,F,N,N,0,202500,Commercial associate,Higher education,Married,Municipal apartment,38,156,1,0,0,0,,2,6,1,2
1,F,N,Y,1,247500,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,31,51,1,0,0,1,Laborers,3,5,1,1
2,M,Y,Y,0,450000,Working,Higher education,Married,House / apartment,52,147,1,0,1,0,Managers,2,22,2,1
3,F,N,Y,0,202500,Commercial associate,Secondary / secondary special,Married,House / apartment,41,69,1,0,1,0,Sales staff,2,37,0,2
4,F,Y,Y,0,157500,State servant,Higher education,Married,House / apartment,41,70,1,0,0,0,Managers,2,26,2,2
5,F,N,Y,2,270000,Working,Secondary / secondary special,Married,House / apartment,36,166,1,0,0,1,High skill tech staff,4,18,1,1
6,F,N,N,0,315000,Working,Secondary / secondary special,Separated,House / apartment,48,65,1,0,0,1,Core staff,1,41,2,1
7,M,N,Y,0,270000,Commercial associate,Secondary / secondary special,Married,House / apartment,40,180,1,0,0,1,Drivers,2,53,0,1
8,M,Y,Y,1,180000,Commercial associate,Higher education,Married,House / apartment,41,48,1,0,0,1,,3,38,2,2
9,F,N,Y,0,103500,Working,Secondary / secondary special,Married,House / apartment,43,43,1,0,0,0,Medicine staff,2,5,2,4
10,F,N,Y,0,193500,Working,Secondary / secondary special,Separated,House / apartment,52,73,1,1,1,1,Laborers,1,40,2,2
11,M,Y,Y,1,135000,Commercial associate,Higher education,Married,House / apartment,32,3,1,0,0,0,Managers,3,51,2,3
12,F,Y,Y,1,157500,Commercial associate,Secondary / secondary special,Married,House / apartment,32,72,1,0,0,0,Accountants,3,60,0,2
13,F,N,N,0,135000,Working,Higher education,Married,House / apartment,27,82,1,0,1,0,Sales staff,2,41,2,3
14,F,N,Y,0,157500,Pensioner,Secondary / secondary special,Single / not married,House / apartment,62,12174,1,0,1,0,,1,41,2,2
15,M,Y,Y,2,157500,Working,Secondary / secondary special,Married,With parents,35,135,1,0,1,0,Drivers,4,60,0,2
16,M,N,Y,0,180000,Working,Secondary / secondary special,Married,House / apartment,53,151,1,0,1,0,Laborers,2,2,1,2
17,M,N,N,0,270000,Commercial associate,Secondary / secondary special,Civil marriage,With parents,24,32,1,0,0,1,Sales staff,2,14,2,1
18,F,N,Y,0,216000,Pensioner,Secondary / secondary special,Married,House / apartment,63,12174,1,0,0,0,,2,37,2,2
19,F,N,Y,0,180000,Working,Secondary / secondary special,Married,House / apartment,37,201,1,0,0,0,,2,7,2,2
20,M,N,N,0,180000,Working,Secondary / secondary special,Married,House / apartment,54,58,1,0,1,0,,2,35,2,2
21,F,N,N,0,157500,Pensioner,Secondary / secondary special,Married,House / apartment,58,12174,1,0,1,0,,2,7,2,2
22,F,N,N,0,157500,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,41,45,1,0,0,0,Laborers,2,22,0,2
23,M,Y,N,0,225000,Working,Secondary / secondary special,Married,Municipal apartment,39,14,1,1,1,1,,2,18,2,1
24,F,N,N,0,202500,Pensioner,Secondary / secondary special,Single / not married,House / apartment,61,12174,1,0,1,0,,1,5,2,2
25,F,N,Y,1,225000,Commercial associate,Secondary / secondary special,Married,House / apartment,38,123,1,0,0,0,Realty agents,3,4,2,1
26,M,Y,N,1,135000,Working,Higher education,Married,House / apartment,48,111,1,1,0,0,Laborers,3,13,2,3
27,M,Y,Y,0,405000,State servant,Secondary / secondary special,Married,House / apartment,47,116,1,0,0,0,,2,57,2,1
28,M,Y,N,0,112500,Commercial associate,Secondary / secondary special,Married,With parents,60,77,1,1,1,0,Drivers,2,47,2,4
29,F,N,Y,0,121500,Commercial associate,Secondary / secondary special,Married,Co-op apartment,32,57,1,0,1,0,Sales staff,2,22,0,3
30,M,Y,N,0,225000,Commercial associate,Secondary / secondary special,Married,House / apartment,36,7,1,0,0,0,Managers,2,33,2,1
